a	а
protagonist	головний герой
protean	протеян
protect	захищати
protection	захист
protective	захисний
protector	захисник
protectorate	протекторат
protein	білка
protest	протестувати
protestant	протестант
protestation	протестування
protocol	протокол
proton	протона
protoplasm	протоплазма
prototype	прототип
protozoa	найпростіші
protract	затяжний
protractor	транспортир
protrude	виступати
protuberant	випинання
proud	гордий
prove	довести
provenance	походження
proverb	прислів&#x27;&#x27;я
provide	забезпечити
provided	за умови
providence	провидіння
provident	провідент
providential	провіденціальні
providing	забезпечення
province	провінція
provincial	провінційний
provision	забезпечення
provisional	тимчасовий
proviso	застереження
provocation	провокація
provocative	провокаційний
provoke	провокувати
provost	провокувати
prow	лунати
prowess	доблесть
prowl	гойдати
proximate	найближчий
proximity	близькість
proxy	проксі
prude	розсудливість
prudent	розсудливий
prudential	розсудливий
prune	чорнослив
prurient	розсудливий
pry	пришпилити
psalm	псалом
psaltery	псалтир
psephology	псефологія
pseud	псевдо
pseudo	псевдо
pshaw	фиркати
psittacosis	пситтакоз
psoriasis	псоріаз
psych	психіка
psyche	психіка
psychedelic	психоделічний
psychiatry	психіатрія
psychic	психічний
psychoanalysis	психоаналіз
psychology	психологія
psychopath	психопат
psychosis	психоз
psychosomatic	психосоматичні
psychotherapy	психотерапія
ptarmigan	піраміда
ptomaine	птомаїн
pub	паб
puberty	статеве дозрівання
pubic	лобкові
public	громадські
publican	митаря
publication	видання
publicist	публіцистичний
publicity	гласність
publish	публікувати
puce	пуч
puck	шайба
pucker	шашка
pudding	пудинг
puddle	калюжа
pudenda	пуденда
pudgy	каламутний
puerile	пуерлі
puff	слойки
pugilist	покірник
pugnacious	примхливий
puke	мовчки
pukka	пукка
pulchritude	пульхритуд
pull	тягнути
pullet	гранатомет
pulley	шківа
pullover	пуловер
pulmonary	легеневий
pulp	м’якоть
pulpit	амвон
pulsar	пульсар
pulsate	пульсувати
pulse	пульс
pulverize	пульверизувати
puma	пума
pumice	пемза
pump	насос
pumpkin	гарбуз
pun	каламбур
punch	удар
punctilio	пунктиліо
punctilious	пунктильний
punctual	пунктуальне
punctuate	пунктуація
